dataset,variable
opex_mriashs,left_ca1
opex_mriashs,left_ca2
opex_mriashs,left_dg
opex_mriashs,left_ca3
opex_mriashs,left_head
opex_mriashs,left_tail
opex_mriashs,left_misc
opex_mriashs,left_sub
opex_mriashs,left_erc
opex_mriashs,left_ba35
opex_mriashs,left_ba36
opex_mriashs,left_phc
opex_mriashs,left_sulcus
opex_mriashs,left_hippoc
opex_mriashs,right_ca1
opex_mriashs,right_ca2
opex_mriashs,right_dg
opex_mriashs,right_ca3
opex_mriashs,right_head
opex_mriashs,right_tail
opex_mriashs,right_misc
opex_mriashs,right_sub
opex_mriashs,right_erc
opex_mriashs,right_ba35
opex_mriashs,right_ba36
opex_mriashs,right_phc
opex_mriashs,right_sulcus
opex_mriashs,right_hippoc
opex_mriashs,total_hippoc
opex_mrifs,left_hippocampal_tail
opex_mrifs,left_subiculum
opex_mrifs,left_ca1
opex_mrifs,left_hippocampal-fissure
opex_mrifs,left_presubiculum
opex_mrifs,left_parasubiculum
opex_mrifs,left_molecular_layer_hp
opex_mrifs,left_gc-ml-dg
opex_mrifs,left_ca3
opex_mrifs,left_ca4
opex_mrifs,left_fimbria
opex_mrifs,left_hata
opex_mrifs,left_whole_hippocampus
opex_mrifs,right_hippocampal_tail
opex_mrifs,right_subiculum
opex_mrifs,right_ca1
opex_mrifs,right_hippocampal-fissure
opex_mrifs,right_presubiculum
opex_mrifs,right_parasubiculum
opex_mrifs,right_molecular_layer_hp
opex_mrifs,right_gc-ml-dg
opex_mrifs,right_ca3
opex_mrifs,right_ca4
opex_mrifs,right_fimbria
opex_mrifs,right_hata
opex_mrifs,right_whole_hippocampus
opex_bloodCobasData,insulin
opex_bloodCobasData,prolactin
opex_bloodCobasData,hgh
opex_bloodCobasData,cortisol
opex_health,a_rbpd
opex_health,a_rbps
opex_health,a_rhr
opex_health,b_rbpd
opex_health,b_rbps
opex_health,b_rhr
opex_health,bmi
opex_health,bodymass
opex_health,dhand
opex_health,f_semitandem
opex_health,f_singleleg
opex_health,f_tandem
opex_health,height
opex_health,hip
opex_health,interval
opex_health,ndhand
opex_health,semitandem
opex_health,singleleg
opex_health,tandem
opex_health,waist
opex_health,whr
opex_cosmed,age
opex_cosmed,co
opex_cosmed,dbp
opex_cosmed,grade
opex_cosmed,hr
opex_cosmed,hrr1
opex_cosmed,hrr3
opex_cosmed,hrr5
opex_cosmed,interval
opex_cosmed,mets
opex_cosmed,o2pulse
opex_cosmed,oues
opex_cosmed,rpe
opex_cosmed,rq
opex_cosmed,sbp
opex_cosmed,speed
opex_cosmed,sv
opex_cosmed,t
opex_cosmed,vevco2_intercept
opex_cosmed,vevco2_slope
opex_cosmed,vo2
opex_cosmed,vo2kg
opex_acer,attention
opex_acer,fluency
opex_acer,interval
opex_acer,language
opex_acer,memory
opex_acer,mmse
opex_acer,total
opex_acer,visuospatial
opex_amunet,aev
opex_amunet,av
opex_amunet,dv
opex_amunet,ev
opex_amunet,sad
opex_amunet,sas
opex_amunet,scd
opex_amunet,scs
opex_amunet,sed
opex_amunet,ses
opex_cantabDMS,dmscc
opex_cantabDMS,dmsl0sd
opex_cantabDMS,dmsl12sd
opex_cantabDMS,dmsl4sd
opex_cantabDMS,dmsladsd
opex_cantabDMS,dmslsd
opex_cantabDMS,dmslssd
opex_cantabDMS,dmsmdl
opex_cantabDMS,dmsmdl0
opex_cantabDMS,dmsmdl12
opex_cantabDMS,dmsmdl4
opex_cantabDMS,dmsmdlad
opex_cantabDMS,dmsmdls
opex_cantabDMS,dmsml
opex_cantabDMS,dmsml0
opex_cantabDMS,dmsml12
opex_cantabDMS,dmsml4
opex_cantabDMS,dmsmlad
opex_cantabDMS,dmsmls
opex_cantabDMS,dmspc
opex_cantabDMS,dmspc0
opex_cantabDMS,dmspc12
opex_cantabDMS,dmspc4
opex_cantabDMS,dmspcad
opex_cantabDMS,dmspcs
opex_cantabDMS,dmspegc
opex_cantabDMS,dmspege
opex_cantabDMS,dmstc
opex_cantabDMS,dmstc0
opex_cantabDMS,dmstc12
opex_cantabDMS,dmstc4
opex_cantabDMS,dmstcad
opex_cantabDMS,dmstcs
opex_cantabDMS,dmste
opex_cantabDMS,dmstead
opex_cantabDMS,dmstec
opex_cantabDMS,dmstecad
opex_cantabDMS,dmsted
opex_cantabDMS,dmstedad
opex_cantabDMS,dmstep
opex_cantabDMS,dmstepad
opex_cantabERT,ertmdcrta
opex_cantabERT,ertmdcrtd
opex_cantabERT,ertmdcrtf
opex_cantabERT,ertmdcrth
opex_cantabERT,ertmdcrts
opex_cantabERT,ertmdcrtsu
opex_cantabERT,ertmdrta
opex_cantabERT,ertmdrtd
opex_cantabERT,ertmdrtf
opex_cantabERT,ertmdrth
opex_cantabERT,ertmdrts
opex_cantabERT,ertmdrtsu
opex_cantabERT,ertocrtsd
opex_cantabERT,ertomdcrt
opex_cantabERT,ertomdrt
opex_cantabERT,ertortsd
opex_cantabERT,erttfaa
opex_cantabERT,erttfad
opex_cantabERT,erttfaf
opex_cantabERT,erttfah
opex_cantabERT,erttfas
opex_cantabERT,erttfasu
opex_cantabERT,ertth
opex_cantabERT,erttha
opex_cantabERT,ertthd
opex_cantabERT,ertthf
opex_cantabERT,ertthh
opex_cantabERT,ertths
opex_cantabERT,ertthsu
opex_cantabERT,ertuhra
opex_cantabERT,ertuhrd
opex_cantabERT,ertuhrf
opex_cantabERT,ertuhrh
opex_cantabERT,ertuhrs
opex_cantabERT,ertuhrsu
opex_cantabMOT,age
opex_cantabMOT,motml
opex_cantabMOT,motsdl
opex_cantabMOT,mottc
opex_cantabMOT,motte
opex_cantabPAL,palfams
opex_cantabPAL,palmets
opex_cantabPAL,palnpr
opex_cantabPAL,palta
opex_cantabPAL,palta2
opex_cantabPAL,palta4
opex_cantabPAL,palta6
opex_cantabPAL,palta8
opex_cantabPAL,palte
opex_cantabPAL,palte2
opex_cantabPAL,palte4
opex_cantabPAL,palte6
